year,month,day,hour,minutes,seconds,temperature(C)
2017,8,18,23,5,58,25.38
2017,8,18,23,8,32,23.31
2017,8,18,23,8,43,23.25
2017,8,18,23,8,53,23.13
2017,8,18,23,9,4,23.00
2017,8,18,23,9,15,22.88
2017,8,18,23,9,26,22.81
2017,8,18,23,9,37,22.69
2017,8,18,23,9,48,22.63
2017,8,18,23,9,58,22.56
2017,8,18,23,10,9,22.50
2017,8,18,23,10,20,22.44
2017,8,18,23,10,31,22.44
2017,8,18,23,10,41,22.31
2017,8,18,23,10,52,22.25
2017,8,18,23,11,3,22.19
2017,8,18,23,11,14,22.13
2017,8,18,23,11,24,22.13
2017,8,18,23,11,35,22.06
2017,8,18,23,11,46,22.00
2017,8,18,23,11,57,21.94
2017,8,18,23,12,7,21.88
2017,8,18,23,12,18,21.88
2017,8,18,23,12,29,21.81
2017,8,18,23,12,39,21.81
2017,8,18,23,12,50,21.75
2017,8,18,23,13,1,21.75
2017,8,18,23,13,11,21.69
2017,8,18,23,13,22,21.69
2017,8,18,23,13,33,21.63
2017,8,18,23,13,43,21.63
2017,8,18,23,13,54,21.63
2017,8,18,23,14,5,21.56
2017,8,18,23,14,15,21.56
2017,8,18,23,14,26,21.56
2017,8,18,23,14,37,21.56
2017,8,18,23,14,47,21.50
2017,8,18,23,14,58,21.50
2017,8,18,23,15,9,21.50
2017,8,18,23,15,19,21.50
2017,8,18,23,15,30,21.50
2017,8,18,23,15,41,21.44
2017,8,18,23,15,52,21.44
2017,8,18,23,16,2,21.44
2017,8,18,23,16,13,21.44
2017,8,18,23,16,24,21.44
2017,8,18,23,16,34,21.38
2017,8,18,23,16,45,21.38
2017,8,18,23,16,56,21.38
2017,8,18,23,17,6,21.38
2017,8,18,23,17,17,21.38
2017,8,18,23,17,27,21.38
2017,8,18,23,17,38,21.38
2017,8,18,23,17,49,21.38
2017,8,18,23,18,0,21.38
2017,8,18,23,18,10,21.31
2017,8,18,23,18,21,21.31
2017,8,18,23,18,31,21.31
2017,8,18,23,18,42,21.31
2017,8,18,23,18,53,21.31
2017,8,18,23,19,4,21.31
2017,8,18,23,19,14,21.31
2017,8,18,23,19,25,21.31
2017,8,18,23,19,35,21.31
2017,8,18,23,19,46,21.31
2017,8,18,23,19,57,21.31
2017,8,18,23,20,7,21.31
2017,8,18,23,20,18,21.31
2017,8,18,23,20,29,21.31
2017,8,18,23,20,39,21.31
2017,8,18,23,20,50,21.31
2017,8,18,23,21,1,21.31
2017,8,18,23,21,11,21.31
2017,8,18,23,21,22,21.31
2017,8,18,23,21,33,21.25
2017,8,18,23,21,43,21.31
2017,8,18,23,21,54,21.31
2017,8,18,23,22,5,21.25
2017,8,18,23,22,15,21.25
2017,8,18,23,22,26,21.25
2017,8,18,23,22,37,21.31
2017,8,18,23,22,47,21.31
2017,8,18,23,22,58,21.31
2017,8,18,23,23,9,21.31
2017,8,18,23,23,19,21.31
2017,8,18,23,23,30,21.31
2017,8,18,23,23,41,21.31
2017,8,18,23,23,51,21.25
2017,8,18,23,24,2,21.25
2017,8,18,23,24,13,21.25
2017,8,18,23,24,23,21.25
2017,8,18,23,24,34,21.25
2017,8,18,23,24,45,21.25
2017,8,18,23,24,55,21.25
2017,8,18,23,25,6,21.25
2017,8,18,23,25,17,21.25
2017,8,18,23,25,27,21.25
2017,8,18,23,25,38,21.25
2017,8,18,23,25,49,21.25
2017,8,18,23,25,59,21.25
2017,8,18,23,26,10,21.25
2017,8,18,23,26,21,21.25
2017,8,18,23,26,31,21.25
2017,8,18,23,26,42,21.25
2017,8,18,23,26,53,21.25
2017,8,18,23,27,3,21.25
2017,8,18,23,27,14,21.25
2017,8,18,23,27,25,21.25
2017,8,18,23,27,35,21.25
2017,8,18,23,27,46,21.25
2017,8,18,23,27,57,21.25
2017,8,18,23,28,7,21.25
2017,8,18,23,28,18,21.25
2017,8,18,23,28,29,21.25
2017,8,18,23,28,39,21.25
2017,8,18,23,28,50,21.25
2017,8,18,23,29,1,21.25
2017,8,18,23,29,11,21.25
2017,8,18,23,29,22,21.25
2017,8,18,23,29,32,21.25
2017,8,18,23,29,43,21.25
2017,8,18,23,29,54,21.25
2017,8,18,23,30,4,21.25
2017,8,18,23,30,15,21.25
2017,8,18,23,30,26,21.25
2017,8,18,23,30,36,21.25
2017,8,18,23,30,47,21.25
2017,8,18,23,30,58,21.25
2017,8,18,23,31,8,21.25
2017,8,18,23,31,19,21.25
2017,8,18,23,31,30,21.25
2017,8,18,23,31,40,21.25
2017,8,18,23,31,51,21.25
2017,8,18,23,32,2,21.25
2017,8,18,23,32,12,21.25
2017,8,18,23,32,23,21.25
2017,8,18,23,32,34,21.25
2017,8,18,23,32,44,21.25
2017,8,18,23,32,55,21.25
2017,8,18,23,33,6,21.25
2017,8,18,23,33,16,21.25
2017,8,18,23,33,27,21.25
2017,8,18,23,33,38,21.25
2017,8,18,23,33,48,21.25
2017,8,18,23,33,59,21.25
2017,8,18,23,34,10,21.25
2017,8,18,23,34,20,21.25
2017,8,18,23,34,31,21.25
2017,8,18,23,34,42,21.25
2017,8,18,23,34,52,21.25
2017,8,18,23,35,3,21.19
2017,8,18,23,35,14,21.19
2017,8,18,23,35,24,21.19
2017,8,18,23,35,35,21.19
2017,8,18,23,35,45,21.19
2017,8,18,23,35,56,21.19
2017,8,18,23,36,7,21.19
2017,8,18,23,36,17,21.19
2017,8,18,23,36,28,21.19
2017,8,18,23,36,39,21.19
2017,8,18,23,36,49,21.19
2017,8,18,23,37,0,21.25
2017,8,18,23,37,11,21.19
2017,8,18,23,37,21,21.25
2017,8,18,23,37,32,21.25
2017,8,18,23,37,43,21.25
2017,8,18,23,37,53,21.25
2017,8,18,23,38,4,21.25
2017,8,18,23,38,15,21.25
2017,8,18,23,38,25,21.25
2017,8,18,23,38,36,21.25
2017,8,18,23,38,47,21.19
2017,8,18,23,38,57,21.25
2017,8,18,23,39,8,21.25
2017,8,18,23,39,19,21.19
2017,8,18,23,39,29,21.25
2017,8,18,23,39,40,21.25
2017,8,18,23,39,51,21.19
2017,8,18,23,40,1,21.19
2017,8,18,23,40,12,21.19
2017,8,18,23,40,23,21.19
2017,8,18,23,40,33,21.19
2017,8,18,23,40,44,21.19
2017,8,18,23,40,55,21.19
2017,8,18,23,41,5,21.19
2017,8,18,23,41,16,21.19
2017,8,18,23,41,27,21.19
2017,8,18,23,41,37,21.19
2017,8,18,23,41,48,21.19
2017,8,18,23,41,59,21.19
2017,8,18,23,42,9,21.19
2017,8,18,23,42,20,21.25
2017,8,18,23,42,30,21.25
2017,8,18,23,42,41,21.19
2017,8,18,23,42,52,21.19
2017,8,18,23,43,2,21.19
2017,8,18,23,43,13,21.19
2017,8,18,23,43,24,21.19
2017,8,18,23,43,34,21.19
2017,8,18,23,43,45,21.19
2017,8,18,23,43,56,21.19
2017,8,18,23,44,6,21.19
2017,8,18,23,44,17,21.19
2017,8,18,23,44,28,21.19
2017,8,18,23,44,38,21.19
2017,8,18,23,44,49,21.19
2017,8,18,23,45,0,21.19
2017,8,18,23,45,10,21.25
2017,8,18,23,45,21,21.25
2017,8,18,23,45,32,21.19
2017,8,18,23,45,42,21.19
2017,8,18,23,45,53,21.19
2017,8,18,23,46,4,21.19
2017,8,18,23,46,14,21.19
2017,8,18,23,46,25,21.19
2017,8,18,23,46,36,21.19
2017,8,18,23,46,46,21.19
2017,8,18,23,46,57,21.19
2017,8,18,23,47,8,21.19
2017,8,18,23,47,18,21.19
2017,8,18,23,47,29,21.19
2017,8,18,23,47,40,21.19
2017,8,18,23,47,50,21.19
2017,8,18,23,48,1,21.19
2017,8,18,23,48,12,21.19
2017,8,18,23,48,22,21.19
2017,8,18,23,48,33,21.19
2017,8,18,23,48,44,21.19
