location,year,month,day,hour,minutes,seconds,temperature(C)
studyroom,2017,8,19,22,43,8,21.81
studyroom,2017,8,19,22,44,8,21.69
studyroom,2017,8,19,22,45,9,21.56
studyroom,2017,8,19,22,46,9,21.44
studyroom,2017,8,19,22,47,10,21.38
studyroom,2017,8,19,22,48,10,21.38
studyroom,2017,8,19,22,49,11,21.31
studyroom,2017,8,19,22,50,12,21.25
studyroom,2017,8,19,22,51,12,21.25
studyroom,2017,8,19,22,52,13,21.19
studyroom,2017,8,19,22,53,14,21.12
studyroom,2017,8,19,22,54,14,21.12
studyroom,2017,8,19,22,55,15,21.12
studyroom,2017,8,19,22,56,16,21.12
studyroom,2017,8,19,22,57,16,21.06
studyroom,2017,8,19,22,58,17,21.06
studyroom,2017,8,19,22,59,18,21.06
studyroom,2017,8,19,23,0,18,21.06
studyroom,2017,8,19,23,1,19,21.06
studyroom,2017,8,19,23,2,20,21.06
studyroom,2017,8,19,23,3,20,21.06
studyroom,2017,8,19,23,4,21,21.06
studyroom,2017,8,19,23,5,22,21.06
studyroom,2017,8,19,23,6,22,21.06
studyroom,2017,8,19,23,7,23,21.06
studyroom,2017,8,19,23,8,24,21.12
studyroom,2017,8,19,23,9,24,21.12
studyroom,2017,8,19,23,10,25,21.06
studyroom,2017,8,19,23,11,25,21.06
studyroom,2017,8,19,23,12,26,21.06
studyroom,2017,8,19,23,13,27,21.06
studyroom,2017,8,19,23,14,27,21.06
studyroom,2017,8,19,23,15,28,21.06
studyroom,2017,8,19,23,16,29,21.06
studyroom,2017,8,19,23,17,29,21.12
studyroom,2017,8,19,23,18,30,21.12
studyroom,2017,8,19,23,19,30,21.12
studyroom,2017,8,19,23,20,31,21.12
studyroom,2017,8,19,23,21,32,21.12
studyroom,2017,8,19,23,22,32,21.12
studyroom,2017,8,19,23,23,33,21.12
studyroom,2017,8,19,23,24,33,21.12
studyroom,2017,8,19,23,25,34,21.12
studyroom,2017,8,19,23,26,35,21.06
studyroom,2017,8,19,23,27,35,21.00
studyroom,2017,8,19,23,28,36,21.06
studyroom,2017,8,19,23,29,37,21.06
studyroom,2017,8,19,23,30,37,21.06
studyroom,2017,8,19,23,31,38,21.00
studyroom,2017,8,19,23,32,38,21.06
studyroom,2017,8,19,23,33,39,21.06
studyroom,2017,8,19,23,34,40,21.19
studyroom,2017,8,19,23,35,40,21.25
studyroom,2017,8,19,23,36,41,21.31
studyroom,2017,8,19,23,37,42,21.31
studyroom,2017,8,19,23,38,42,21.25
studyroom,2017,8,19,23,39,43,21.25
studyroom,2017,8,19,23,40,43,21.19
studyroom,2017,8,19,23,41,44,21.19
studyroom,2017,8,19,23,42,45,21.12
studyroom,2017,8,19,23,43,45,21.12
studyroom,2017,8,19,23,44,46,21.12
studyroom,2017,8,19,23,45,47,21.12
studyroom,2017,8,19,23,46,47,21.12
studyroom,2017,8,19,23,47,48,21.12
studyroom,2017,8,19,23,48,48,21.12
studyroom,2017,8,19,23,49,49,21.12
studyroom,2017,8,19,23,50,50,21.12
studyroom,2017,8,19,23,51,50,21.19
studyroom,2017,8,19,23,52,51,21.12
studyroom,2017,8,19,23,53,51,21.12
studyroom,2017,8,19,23,54,52,21.12
studyroom,2017,8,19,23,55,53,21.12
studyroom,2017,8,19,23,56,53,21.12
studyroom,2017,8,19,23,57,54,21.12
studyroom,2017,8,19,23,58,54,21.12
studyroom,2017,8,19,23,59,55,21.12
studyroom,2017,8,19,24,0,56,21.12
studyroom,2017,8,19,24,1,56,21.12
studyroom,2017,8,19,24,2,57,21.12
studyroom,2017,8,19,24,3,57,21.12
studyroom,2017,8,19,24,4,58,21.12
studyroom,2017,8,19,24,5,59,21.12
studyroom,2017,8,19,24,6,59,21.12
studyroom,2017,8,19,24,8,0,21.12
studyroom,2017,8,19,24,9,0,21.19
studyroom,2017,8,19,24,10,1,21.25
studyroom,2017,8,19,24,11,2,21.25
studyroom,2017,8,19,24,12,2,21.25
studyroom,2017,8,19,24,13,3,21.31
studyroom,2017,8,19,24,14,3,21.25
studyroom,2017,8,19,24,15,4,21.25
studyroom,2017,8,19,24,16,4,21.25
studyroom,2017,8,19,24,17,5,21.19
studyroom,2017,8,19,24,18,6,21.19
studyroom,2017,8,19,24,19,6,21.19
studyroom,2017,8,19,24,20,7,21.19
studyroom,2017,8,19,24,21,7,21.19
studyroom,2017,8,19,24,22,8,21.19
studyroom,2017,8,19,24,23,8,21.19
studyroom,2017,8,19,24,24,9,21.12
studyroom,2017,8,19,24,25,10,21.19
studyroom,2017,8,19,24,26,10,21.19
studyroom,2017,8,19,24,27,11,21.19
studyroom,2017,8,19,24,28,11,21.19
studyroom,2017,8,19,24,29,12,21.12
studyroom,2017,8,19,24,30,13,21.19
studyroom,2017,8,19,24,31,13,21.19
studyroom,2017,8,19,24,32,14,21.19
studyroom,2017,8,19,24,33,14,21.19
studyroom,2017,8,19,24,34,15,21.12
studyroom,2017,8,19,24,35,16,21.12
studyroom,2017,8,19,24,36,16,21.12
studyroom,2017,8,19,24,37,17,21.12
studyroom,2017,8,19,24,38,18,21.06
studyroom,2017,8,19,24,39,18,21.06
studyroom,2017,8,19,24,40,19,21.06
studyroom,2017,8,19,24,41,20,21.06
studyroom,2017,8,19,24,42,21,21.06
